,FQ1,FQ2,ID,LB,SM,PL,RUN
MMP-C02D1AC_1-JU394,MMP-C02D1AC_1-JU394-paired-1.fq.gz,MMP-C02D1AC_1-JU394-paired-2.fq.gz,MMP-C02D1AC_1-JU394,C02D1AC_1,JU394,,
MMP-D09NFAC_4-JU394,MMP-D09NFAC_4-JU394-paired-1.fq.gz,MMP-D09NFAC_4-JU394-paired-2.fq.gz,MMP-D09NFAC_4-JU394,D09NFAC_4,JU394,,
MMP-D0A7EAC_1-JU394,MMP-D0A7EAC_1-JU394-paired-1.fq.gz,MMP-D0A7EAC_1-JU394-paired-2.fq.gz,MMP-D0A7EAC_1-JU394,D0A7EAC_1,JU394,,
Rockman076-R076.2-JU400,Rockman076-R076.2-JU400-paired-1.fq.gz,Rockman076-R076.2-JU400-paired-2.fq.gz,Rockman076-R076.2-JU400,R076.2,JU394,,
BGI1-RET5-JU397,BGI1-RET5-JU397-paired-1.fq.gz,BGI1-RET5-JU397-paired-2.fq.gz,BGI1-RET5-JU397,RET5,JU397,,
BGI2-RET5-JU397,BGI2-RET5-JU397-paired-1.fq.gz,BGI2-RET5-JU397-paired-2.fq.gz,BGI2-RET5-JU397,RET5,JU397,,
BGI3-RET5b-JU397,BGI3-RET5b-JU397-paired-1.fq.gz,BGI3-RET5b-JU397-paired-2.fq.gz,BGI3-RET5b-JU397,RET5b,JU397,,
BGI1-RET6-JU406,BGI1-RET6-JU406-paired-1.fq.gz,BGI1-RET6-JU406-paired-2.fq.gz,BGI1-RET6-JU406,RET6,JU406,,
BGI2-RET6-JU406,BGI2-RET6-JU406-paired-1.fq.gz,BGI2-RET6-JU406-paired-2.fq.gz,BGI2-RET6-JU406,RET6,JU406,,
BGI3-RET6b-JU406,BGI3-RET6b-JU406-paired-1.fq.gz,BGI3-RET6b-JU406-paired-2.fq.gz,BGI3-RET6b-JU406,RET6b,JU406,,
BGI1-RET3-JU440,BGI1-RET3-JU440-paired-1.fq.gz,BGI1-RET3-JU440-paired-2.fq.gz,BGI1-RET3-JU440,RET3,JU440,,
BGI2-RET3-JU440,BGI2-RET3-JU440-paired-1.fq.gz,BGI2-RET3-JU440-paired-2.fq.gz,BGI2-RET3-JU440,RET3,JU440,,
BGI3-RET3b-JU440,BGI3-RET3b-JU440-paired-1.fq.gz,BGI3-RET3b-JU440-paired-2.fq.gz,BGI3-RET3b-JU440,RET3b,JU440,,
BGI1-RET7-JU561,BGI1-RET7-JU561-paired-1.fq.gz,BGI1-RET7-JU561-paired-2.fq.gz,BGI1-RET7-JU561,RET7,JU561,,
BGI2-RET7-JU561,BGI2-RET7-JU561-paired-1.fq.gz,BGI2-RET7-JU561-paired-2.fq.gz,BGI2-RET7-JU561,RET7,JU561,,
BGI3-RET7b-JU561,BGI3-RET7b-JU561-paired-1.fq.gz,BGI3-RET7b-JU561-paired-2.fq.gz,BGI3-RET7b-JU561,RET7b,JU561,,
BGI1-RET4-JU642,BGI1-RET4-JU642-paired-1.fq.gz,BGI1-RET4-JU642-paired-2.fq.gz,BGI1-RET4-JU642,RET4,JU642,,
BGI2-RET4-JU642,BGI2-RET4-JU642-paired-1.fq.gz,BGI2-RET4-JU642-paired-2.fq.gz,BGI2-RET4-JU642,RET4,JU642,,
BGI3-RET4b-JU642,BGI3-RET4b-JU642-paired-1.fq.gz,BGI3-RET4b-JU642-paired-2.fq.gz,BGI3-RET4b-JU642,RET4b,JU642,,
MMP-7028LAB_5-JU642,MMP-7028LAB_5-JU642-paired-1.fq.gz,MMP-7028LAB_5-JU642-paired-2.fq.gz,MMP-7028LAB_5-JU642,7028LAB_5,JU642,,
MMP-B00B7AB_3-JU642,MMP-B00B7AB_3-JU642-paired-1.fq.gz,MMP-B00B7AB_3-JU642-paired-2.fq.gz,MMP-B00B7AB_3-JU642,B00B7AB_3,JU642,,
MMP-C02D1AC_1-JU642,MMP-C02D1AC_1-JU642-paired-1.fq.gz,MMP-C02D1AC_1-JU642-paired-2.fq.gz,MMP-C02D1AC_1-JU642,C02D1AC_1,JU642,,
MMP-D09NFAC_4-JU642,MMP-D09NFAC_4-JU642-paired-1.fq.gz,MMP-D09NFAC_4-JU642-paired-2.fq.gz,MMP-D09NFAC_4-JU642,D09NFAC_4,JU642,,
MMP-D0A7EAC_1-JU642,MMP-D0A7EAC_1-JU642-paired-1.fq.gz,MMP-D0A7EAC_1-JU642-paired-2.fq.gz,MMP-D0A7EAC_1-JU642,D0A7EAC_1,JU642,,
Princeton-ECA38_c099uac-JU642,Princeton-ECA38_c099uac-JU642-paired-1.fq.gz,Princeton-ECA38_c099uac-JU642-paired-2.fq.gz,Princeton-ECA38_c099uac-JU642,ECA38_c099uac,JU642,,
Princeton-ECA38_d0mbhac-JU642,Princeton-ECA38_d0mbhac-JU642-paired-1.fq.gz,Princeton-ECA38_d0mbhac-JU642-paired-2.fq.gz,Princeton-ECA38_d0mbhac-JU642,ECA38_d0mbhac,JU642,,
BGI1-RET5-JU751,BGI1-RET5-JU751-paired-1.fq.gz,BGI1-RET5-JU751-paired-2.fq.gz,BGI1-RET5-JU751,RET5,JU751,,
BGI2-RET5-JU751,BGI2-RET5-JU751-paired-1.fq.gz,BGI2-RET5-JU751-paired-2.fq.gz,BGI2-RET5-JU751,RET5,JU751,,
BGI3-RET5a-JU751,BGI3-RET5a-JU751-paired-1.fq.gz,BGI3-RET5a-JU751-paired-2.fq.gz,BGI3-RET5a-JU751,RET5a,JU751,,
BGI1-RET7-JU774,BGI1-RET7-JU774-paired-1.fq.gz,BGI1-RET7-JU774-paired-2.fq.gz,BGI1-RET7-JU774,RET7,JU774,,
BGI2-RET7-JU774,BGI2-RET7-JU774-paired-1.fq.gz,BGI2-RET7-JU774-paired-2.fq.gz,BGI2-RET7-JU774,RET7,JU774,,
BGI3-RET7a-JU774,BGI3-RET7a-JU774-paired-1.fq.gz,BGI3-RET7a-JU774-paired-2.fq.gz,BGI3-RET7a-JU774,RET7a,JU774,,
Princeton-ECA38_c099uac-JU774,Princeton-ECA38_c099uac-JU774-paired-1.fq.gz,Princeton-ECA38_c099uac-JU774-paired-2.fq.gz,Princeton-ECA38_c099uac-JU774,ECA38_c099uac,JU774,,
Princeton-ECA38_d0mbhac-JU774,Princeton-ECA38_d0mbhac-JU774-paired-1.fq.gz,Princeton-ECA38_d0mbhac-JU774-paired-2.fq.gz,Princeton-ECA38_d0mbhac-JU774,ECA38_d0mbhac,JU774,,
BGI1-RET2-JU775,BGI1-RET2-JU775-paired-1.fq.gz,BGI1-RET2-JU775-paired-2.fq.gz,BGI1-RET2-JU775,RET2,JU775,,
BGI2-RET2-JU775,BGI2-RET2-JU775-paired-1.fq.gz,BGI2-RET2-JU775-paired-2.fq.gz,BGI2-RET2-JU775,RET2,JU775,,
BGI3-RET2a-JU775,BGI3-RET2a-JU775-paired-1.fq.gz,BGI3-RET2a-JU775-paired-2.fq.gz,BGI3-RET2a-JU775,RET2a,JU775,,
MMP-7028LAB_5-JU775,MMP-7028LAB_5-JU775-paired-1.fq.gz,MMP-7028LAB_5-JU775-paired-2.fq.gz,MMP-7028LAB_5-JU775,7028LAB_5,JU775,,
MMP-B00B7AB_3-JU775,MMP-B00B7AB_3-JU775-paired-1.fq.gz,MMP-B00B7AB_3-JU775-paired-2.fq.gz,MMP-B00B7AB_3-JU775,B00B7AB_3,JU775,,
MMP-C02D1AC_1-JU775,MMP-C02D1AC_1-JU775-paired-1.fq.gz,MMP-C02D1AC_1-JU775-paired-2.fq.gz,MMP-C02D1AC_1-JU775,C02D1AC_1,JU775,,
MMP-D09NFAC_4-JU775,MMP-D09NFAC_4-JU775-paired-1.fq.gz,MMP-D09NFAC_4-JU775-paired-2.fq.gz,MMP-D09NFAC_4-JU775,D09NFAC_4,JU775,,
MMP-D0A7EAC_1-JU775,MMP-D0A7EAC_1-JU775-paired-1.fq.gz,MMP-D0A7EAC_1-JU775-paired-2.fq.gz,MMP-D0A7EAC_1-JU775,D0A7EAC_1,JU775,,
BGI1-RET1-JU778,BGI1-RET1-JU778-paired-1.fq.gz,BGI1-RET1-JU778-paired-2.fq.gz,BGI1-RET1-JU778,RET1,JU778,,
BGI2-RET1-JU778,BGI2-RET1-JU778-paired-1.fq.gz,BGI2-RET1-JU778-paired-2.fq.gz,BGI2-RET1-JU778,RET1,JU778,,
BGI3-RET1b-JU778,BGI3-RET1b-JU778-paired-1.fq.gz,BGI3-RET1b-JU778-paired-2.fq.gz,BGI3-RET1b-JU778,RET1b,JU778,,
BGI1-RET2-JU782,BGI1-RET2-JU782-paired-1.fq.gz,BGI1-RET2-JU782-paired-2.fq.gz,BGI1-RET2-JU782,RET2,JU782,,
BGI2-RET2-JU782,BGI2-RET2-JU782-paired-1.fq.gz,BGI2-RET2-JU782-paired-2.fq.gz,BGI2-RET2-JU782,RET2,JU782,,
BGI3-RET2a-JU782,BGI3-RET2a-JU782-paired-1.fq.gz,BGI3-RET2a-JU782-paired-2.fq.gz,BGI3-RET2a-JU782,RET2a,JU782,,
Uchicago-L001-JU782,Uchicago-L001-JU782-paired-1.fq.gz,Uchicago-L001-JU782-paired-2.fq.gz,Uchicago-L001-JU782,L001,JU782,,
Princeton-ECA40_d0ncdac-JU782,Princeton-ECA40_d0ncdac-JU782-paired-1.fq.gz,Princeton-ECA40_d0ncdac-JU782-paired-2.fq.gz,Princeton-ECA40_d0ncdac-JU782,ECA40_d0ncdac,JU782,,
Princeton-ECAmp_c0g61ac-JU782,Princeton-ECAmp_c0g61ac-JU782-paired-1.fq.gz,Princeton-ECAmp_c0g61ac-JU782-paired-2.fq.gz,Princeton-ECAmp_c0g61ac-JU782,ECAmp_c0g61ac,JU782,,
BGI2-RET6-JU792,BGI2-RET6-JU792-paired-1.fq.gz,BGI2-RET6-JU792-paired-2.fq.gz,BGI2-RET6-JU792,RET6,JU792,,
BGI3-RET6a-JU792,BGI3-RET6a-JU792-paired-1.fq.gz,BGI3-RET6a-JU792-paired-2.fq.gz,BGI3-RET6a-JU792,RET6a,JU792,,
BGI1-RET3-JU830,BGI1-RET3-JU830-paired-1.fq.gz,BGI1-RET3-JU830-paired-2.fq.gz,BGI1-RET3-JU830,RET3,JU830,,
BGI2-RET3-JU830,BGI2-RET3-JU830-paired-1.fq.gz,BGI2-RET3-JU830-paired-2.fq.gz,BGI2-RET3-JU830,RET3,JU830,,
BGI3-RET3a-JU830,BGI3-RET3a-JU830-paired-1.fq.gz,BGI3-RET3a-JU830-paired-2.fq.gz,BGI3-RET3a-JU830,RET3a,JU830,,
BGI1-RET7-JU847,BGI1-RET7-JU847-paired-1.fq.gz,BGI1-RET7-JU847-paired-2.fq.gz,BGI1-RET7-JU847,RET7,JU847,,
BGI2-RET7-JU847,BGI2-RET7-JU847-paired-1.fq.gz,BGI2-RET7-JU847-paired-2.fq.gz,BGI2-RET7-JU847,RET7,JU847,,
BGI3-RET7a-JU847,BGI3-RET7a-JU847-paired-1.fq.gz,BGI3-RET7a-JU847-paired-2.fq.gz,BGI3-RET7a-JU847,RET7a,JU847,,
BGI1-RET5-KR314,BGI1-RET5-KR314-paired-1.fq.gz,BGI1-RET5-KR314-paired-2.fq.gz,BGI1-RET5-KR314,RET5,KR314,,
BGI2-RET5-KR314,BGI2-RET5-KR314-paired-1.fq.gz,BGI2-RET5-KR314-paired-2.fq.gz,BGI2-RET5-KR314,RET5,KR314,,
BGI3-RET5b-KR314,BGI3-RET5b-KR314-paired-1.fq.gz,BGI3-RET5b-KR314-paired-2.fq.gz,BGI3-RET5b-KR314,RET5b,KR314,,
MMP-7028LAB_5-KR314,MMP-7028LAB_5-KR314-paired-1.fq.gz,MMP-7028LAB_5-KR314-paired-2.fq.gz,MMP-7028LAB_5-KR314,7028LAB_5,KR314,,
MMP-B00B7AB_3-KR314,MMP-B00B7AB_3-KR314-paired-1.fq.gz,MMP-B00B7AB_3-KR314-paired-2.fq.gz,MMP-B00B7AB_3-KR314,B00B7AB_3,KR314,,
MMP-C02D1AC_1-KR314,MMP-C02D1AC_1-KR314-paired-1.fq.gz,MMP-C02D1AC_1-KR314-paired-2.fq.gz,MMP-C02D1AC_1-KR314,C02D1AC_1,KR314,,
MMP-D09NFAC_4-KR314,MMP-D09NFAC_4-KR314-paired-1.fq.gz,MMP-D09NFAC_4-KR314-paired-2.fq.gz,MMP-D09NFAC_4-KR314,D09NFAC_4,KR314,,
MMP-D0A7EAC_1-KR314,MMP-D0A7EAC_1-KR314-paired-1.fq.gz,MMP-D0A7EAC_1-KR314-paired-2.fq.gz,MMP-D0A7EAC_1-KR314,D0A7EAC_1,KR314,,
Princeton-ECA39_d0ncdac-KR314,Princeton-ECA39_d0ncdac-KR314-paired-1.fq.gz,Princeton-ECA39_d0ncdac-KR314-paired-2.fq.gz,Princeton-ECA39_d0ncdac-KR314,ECA39_d0ncdac,KR314,,
BGI1-RET3-LKC34,BGI1-RET3-LKC34-paired-1.fq.gz,BGI1-RET3-LKC34-paired-2.fq.gz,BGI1-RET3-LKC34,RET3,LKC34,,
BGI2-RET3-LKC34,BGI2-RET3-LKC34-paired-1.fq.gz,BGI2-RET3-LKC34-paired-2.fq.gz,BGI2-RET3-LKC34,RET3,LKC34,,
BGI3-RET3a-LKC34,BGI3-RET3a-LKC34-paired-1.fq.gz,BGI3-RET3a-LKC34-paired-2.fq.gz,BGI3-RET3a-LKC34,RET3a,LKC34,,
MMP-7028LAB_5-LKC34,MMP-7028LAB_5-LKC34-paired-1.fq.gz,MMP-7028LAB_5-LKC34-paired-2.fq.gz,MMP-7028LAB_5-LKC34,7028LAB_5,LKC34,,
MMP-B00B7AB_3-LKC34,MMP-B00B7AB_3-LKC34-paired-1.fq.gz,MMP-B00B7AB_3-LKC34-paired-2.fq.gz,MMP-B00B7AB_3-LKC34,B00B7AB_3,LKC34,,
MMP-C02D1AC_1-LKC34,MMP-C02D1AC_1-LKC34-paired-1.fq.gz,MMP-C02D1AC_1-LKC34-paired-2.fq.gz,MMP-C02D1AC_1-LKC34,C02D1AC_1,LKC34,,
MMP-D09NFAC_4-LKC34,MMP-D09NFAC_4-LKC34-paired-1.fq.gz,MMP-D09NFAC_4-LKC34-paired-2.fq.gz,MMP-D09NFAC_4-LKC34,D09NFAC_4,LKC34,,
MMP-D0A7EAC_1-LKC34,MMP-D0A7EAC_1-LKC34-paired-1.fq.gz,MMP-D0A7EAC_1-LKC34-paired-2.fq.gz,MMP-D0A7EAC_1-LKC34,D0A7EAC_1,LKC34,,
BGI1-RET4-LSJ1,BGI1-RET4-LSJ1-paired-1.fq.gz,BGI1-RET4-LSJ1-paired-2.fq.gz,BGI1-RET4-LSJ1,RET4,LSJ1,,
BGI2-RET4-LSJ1,BGI2-RET4-LSJ1-paired-1.fq.gz,BGI2-RET4-LSJ1-paired-2.fq.gz,BGI2-RET4-LSJ1,RET4,LSJ1,,
BGI3-RET4a-LSJ1,BGI3-RET4a-LSJ1-paired-1.fq.gz,BGI3-RET4a-LSJ1-paired-2.fq.gz,BGI3-RET4a-LSJ1,RET4a,LSJ1,,
Princeton-ECA36_c099uac-LSJ1,Princeton-ECA36_c099uac-LSJ1-paired-1.fq.gz,Princeton-ECA36_c099uac-LSJ1-paired-2.fq.gz,Princeton-ECA36_c099uac-LSJ1,ECA36_c099uac,LSJ1,,
Princeton-ECA36_d0mbhac-LSJ1,Princeton-ECA36_d0mbhac-LSJ1-paired-1.fq.gz,Princeton-ECA36_d0mbhac-LSJ1-paired-2.fq.gz,Princeton-ECA36_d0mbhac-LSJ1,ECA36_d0mbhac,LSJ1,,
BGI1-RET2-MY1,BGI1-RET2-MY1-paired-1.fq.gz,BGI1-RET2-MY1-paired-2.fq.gz,BGI1-RET2-MY1,RET2,MY1,,
BGI2-RET2-MY1,BGI2-RET2-MY1-paired-1.fq.gz,BGI2-RET2-MY1-paired-2.fq.gz,BGI2-RET2-MY1,RET2,MY1,,
BGI3-RET2b-MY1,BGI3-RET2b-MY1-paired-1.fq.gz,BGI3-RET2b-MY1-paired-2.fq.gz,BGI3-RET2b-MY1,RET2b,MY1,,
MMP-7028LAB_5-MY1,MMP-7028LAB_5-MY1-paired-1.fq.gz,MMP-7028LAB_5-MY1-paired-2.fq.gz,MMP-7028LAB_5-MY1,7028LAB_5,MY1,,
MMP-B00B7AB_3-MY1,MMP-B00B7AB_3-MY1-paired-1.fq.gz,MMP-B00B7AB_3-MY1-paired-2.fq.gz,MMP-B00B7AB_3-MY1,B00B7AB_3,MY1,,
MMP-C02D1AC_1-MY1,MMP-C02D1AC_1-MY1-paired-1.fq.gz,MMP-C02D1AC_1-MY1-paired-2.fq.gz,MMP-C02D1AC_1-MY1,C02D1AC_1,MY1,,
MMP-D09NFAC_4-MY1,MMP-D09NFAC_4-MY1-paired-1.fq.gz,MMP-D09NFAC_4-MY1-paired-2.fq.gz,MMP-D09NFAC_4-MY1,D09NFAC_4,MY1,,
MMP-D0A7EAC_1-MY1,MMP-D0A7EAC_1-MY1-paired-1.fq.gz,MMP-D0A7EAC_1-MY1-paired-2.fq.gz,MMP-D0A7EAC_1-MY1,D0A7EAC_1,MY1,,
Rockman076-R076.3-MY1,Rockman076-R076.3-MY1-paired-1.fq.gz,Rockman076-R076.3-MY1-paired-2.fq.gz,Rockman076-R076.3-MY1,R076.3,MY1,,
Princeton-ECA36_c099uac-MY1,Princeton-ECA36_c099uac-MY1-paired-1.fq.gz,Princeton-ECA36_c099uac-MY1-paired-2.fq.gz,Princeton-ECA36_c099uac-MY1,ECA36_c099uac,MY1,,
Princeton-ECA36_d0mbhac-MY1,Princeton-ECA36_d0mbhac-MY1-paired-1.fq.gz,Princeton-ECA36_d0mbhac-MY1-paired-2.fq.gz,Princeton-ECA36_d0mbhac-MY1,ECA36_d0mbhac,MY1,,
BGI1-RET3-MY10,BGI1-RET3-MY10-paired-1.fq.gz,BGI1-RET3-MY10-paired-2.fq.gz,BGI1-RET3-MY10,RET3,MY10,,
BGI2-RET3-MY10,BGI2-RET3-MY10-paired-1.fq.gz,BGI2-RET3-MY10-paired-2.fq.gz,BGI2-RET3-MY10,RET3,MY10,,
BGI3-RET3b-MY10,BGI3-RET3b-MY10-paired-1.fq.gz,BGI3-RET3b-MY10-paired-2.fq.gz,BGI3-RET3b-MY10,RET3b,MY10,,
Princeton-ECA38_c099uac-MY10,Princeton-ECA38_c099uac-MY10-paired-1.fq.gz,Princeton-ECA38_c099uac-MY10-paired-2.fq.gz,Princeton-ECA38_c099uac-MY10,ECA38_c099uac,MY10,,
Princeton-ECA38_d0mbhac-MY10,Princeton-ECA38_d0mbhac-MY10-paired-1.fq.gz,Princeton-ECA38_d0mbhac-MY10-paired-2.fq.gz,Princeton-ECA38_d0mbhac-MY10,ECA38_d0mbhac,MY10,,
Rockman076-R076.2-MY16,Rockman076-R076.2-MY16-paired-1.fq.gz,Rockman076-R076.2-MY16-paired-2.fq.gz,Rockman076-R076.2-MY16,R076.2,MY16,,
BGI1-RET2-MY16,BGI1-RET2-MY16-paired-1.fq.gz,BGI1-RET2-MY16-paired-2.fq.gz,BGI1-RET2-MY16,RET2,MY16,,
BGI2-RET2-MY16,BGI2-RET2-MY16-paired-1.fq.gz,BGI2-RET2-MY16-paired-2.fq.gz,BGI2-RET2-MY16,RET2,MY16,,
BGI3-RET2a-MY16,BGI3-RET2a-MY16-paired-1.fq.gz,BGI3-RET2a-MY16-paired-2.fq.gz,BGI3-RET2a-MY16,RET2a,MY16,,
MMP-7028LAB_5-MY16,MMP-7028LAB_5-MY16-paired-1.fq.gz,MMP-7028LAB_5-MY16-paired-2.fq.gz,MMP-7028LAB_5-MY16,7028LAB_5,MY16,,
MMP-B00B7AB_3-MY16,MMP-B00B7AB_3-MY16-paired-1.fq.gz,MMP-B00B7AB_3-MY16-paired-2.fq.gz,MMP-B00B7AB_3-MY16,B00B7AB_3,MY16,,
MMP-C02D1AC_1-MY16,MMP-C02D1AC_1-MY16-paired-1.fq.gz,MMP-C02D1AC_1-MY16-paired-2.fq.gz,MMP-C02D1AC_1-MY16,C02D1AC_1,MY16,,
MMP-D09NFAC_4-MY16,MMP-D09NFAC_4-MY16-paired-1.fq.gz,MMP-D09NFAC_4-MY16-paired-2.fq.gz,MMP-D09NFAC_4-MY16,D09NFAC_4,MY16,,
MMP-D0A7EAC_1-MY16,MMP-D0A7EAC_1-MY16-paired-1.fq.gz,MMP-D0A7EAC_1-MY16-paired-2.fq.gz,MMP-D0A7EAC_1-MY16,D0A7EAC_1,MY16,,
Rockman096-R096.2-MY16,Rockman096-R096.2-MY16-paired-1.fq.gz,Rockman096-R096.2-MY16-paired-2.fq.gz,Rockman096-R096.2-MY16,R096.2,MY16,,
Princeton-ECA41_d0ncdac-MY16,Princeton-ECA41_d0ncdac-MY16-paired-1.fq.gz,Princeton-ECA41_d0ncdac-MY16-paired-2.fq.gz,Princeton-ECA41_d0ncdac-MY16,ECA41_d0ncdac,MY16,,
BGI1-RET7-MY18,BGI1-RET7-MY18-paired-1.fq.gz,BGI1-RET7-MY18-paired-2.fq.gz,BGI1-RET7-MY18,RET7,MY18,,
BGI2-RET7-MY18,BGI2-RET7-MY18-paired-1.fq.gz,BGI2-RET7-MY18-paired-2.fq.gz,BGI2-RET7-MY18,RET7,MY18,,
BGI3-RET7a-MY18,BGI3-RET7a-MY18-paired-1.fq.gz,BGI3-RET7a-MY18-paired-2.fq.gz,BGI3-RET7a-MY18,RET7a,MY18,,
Rockman096-R096.4-MY18,Rockman096-R096.4-MY18-paired-1.fq.gz,Rockman096-R096.4-MY18-paired-2.fq.gz,Rockman096-R096.4-MY18,R096.4,MY18,,
MMP-7028LAB_5-MY6,MMP-7028LAB_5-MY6-paired-1.fq.gz,MMP-7028LAB_5-MY6-paired-2.fq.gz,MMP-7028LAB_5-MY6,7028LAB_5,MY18,,
MMP-B00B7AB_3-MY6,MMP-B00B7AB_3-MY6-paired-1.fq.gz,MMP-B00B7AB_3-MY6-paired-2.fq.gz,MMP-B00B7AB_3-MY6,B00B7AB_3,MY18,,
MMP-C02D1AC_1-MY6,MMP-C02D1AC_1-MY6-paired-1.fq.gz,MMP-C02D1AC_1-MY6-paired-2.fq.gz,MMP-C02D1AC_1-MY6,C02D1AC_1,MY18,,
MMP-D09NFAC_4-MY6,MMP-D09NFAC_4-MY6-paired-1.fq.gz,MMP-D09NFAC_4-MY6-paired-2.fq.gz,MMP-D09NFAC_4-MY6,D09NFAC_4,MY18,,
MMP-D0A7EAC_1-MY6,MMP-D0A7EAC_1-MY6-paired-1.fq.gz,MMP-D0A7EAC_1-MY6-paired-2.fq.gz,MMP-D0A7EAC_1-MY6,D0A7EAC_1,MY18,,
Princeton-ECA38_c099uac-MY18,Princeton-ECA38_c099uac-MY18-paired-1.fq.gz,Princeton-ECA38_c099uac-MY18-paired-2.fq.gz,Princeton-ECA38_c099uac-MY18,ECA38_c099uac,MY18,,
Princeton-ECA38_d0mbhac-MY18,Princeton-ECA38_d0mbhac-MY18-paired-1.fq.gz,Princeton-ECA38_d0mbhac-MY18-paired-2.fq.gz,Princeton-ECA38_d0mbhac-MY18,ECA38_d0mbhac,MY18,,
BGI1-RET1-MY23,BGI1-RET1-MY23-paired-1.fq.gz,BGI1-RET1-MY23-paired-2.fq.gz,BGI1-RET1-MY23,RET1,MY23,,
BGI2-RET1-MY23,BGI2-RET1-MY23-paired-1.fq.gz,BGI2-RET1-MY23-paired-2.fq.gz,BGI2-RET1-MY23,RET1,MY23,,
BGI3-RET1a-MY23,BGI3-RET1a-MY23-paired-1.fq.gz,BGI3-RET1a-MY23-paired-2.fq.gz,BGI3-RET1a-MY23,RET1a,MY23,,
Princeton-P-MY23,Princeton-P-MY23-paired-1.fq.gz,Princeton-P-MY23-paired-2.fq.gz,Princeton-P-MY23,P,MY23,,
MMP-7028LAB_5-MY2,MMP-7028LAB_5-MY2-paired-1.fq.gz,MMP-7028LAB_5-MY2-paired-2.fq.gz,MMP-7028LAB_5-MY2,7028LAB_5,MY23,,
MMP-B00B7AB_3-MY2,MMP-B00B7AB_3-MY2-paired-1.fq.gz,MMP-B00B7AB_3-MY2-paired-2.fq.gz,MMP-B00B7AB_3-MY2,B00B7AB_3,MY23,,
MMP-C02D1AC_1-MY2,MMP-C02D1AC_1-MY2-paired-1.fq.gz,MMP-C02D1AC_1-MY2-paired-2.fq.gz,MMP-C02D1AC_1-MY2,C02D1AC_1,MY23,,
MMP-D09NFAC_4-MY2,MMP-D09NFAC_4-MY2-paired-1.fq.gz,MMP-D09NFAC_4-MY2-paired-2.fq.gz,MMP-D09NFAC_4-MY2,D09NFAC_4,MY23,,
MMP-D0A7EAC_1-MY2,MMP-D0A7EAC_1-MY2-paired-1.fq.gz,MMP-D0A7EAC_1-MY2-paired-2.fq.gz,MMP-D0A7EAC_1-MY2,D0A7EAC_1,MY23,,
BGI1-RET1-N2_CGC,BGI1-RET1-N2_CGC-paired-1.fq.gz,BGI1-RET1-N2_CGC-paired-2.fq.gz,BGI1-RET1-N2_CGC,RET1,N2,,
BGI2-RET1-N2_CGC,BGI2-RET1-N2_CGC-paired-1.fq.gz,BGI2-RET1-N2_CGC-paired-2.fq.gz,BGI2-RET1-N2_CGC,RET1,N2,,
BGI3-RET1a-N2_CGC,BGI3-RET1a-N2_CGC-paired-1.fq.gz,BGI3-RET1a-N2_CGC-paired-2.fq.gz,BGI3-RET1a-N2_CGC,RET1a,N2,,
Princeton-P-N2_CGC,Princeton-P-N2_CGC-paired-1.fq.gz,Princeton-P-N2_CGC-paired-2.fq.gz,Princeton-P-N2_CGC,P,N2,,
BGI1-RET6-N2_HRH,BGI1-RET6-N2_HRH-paired-1.fq.gz,BGI1-RET6-N2_HRH-paired-2.fq.gz,BGI1-RET6-N2_HRH,RET6,N2,,
BGI2-RET6-N2_HRH,BGI2-RET6-N2_HRH-paired-1.fq.gz,BGI2-RET6-N2_HRH-paired-2.fq.gz,BGI2-RET6-N2_HRH,RET6,N2,,
BGI3-RET6b-N2_HRH,BGI3-RET6b-N2_HRH-paired-1.fq.gz,BGI3-RET6b-N2_HRH-paired-2.fq.gz,BGI3-RET6b-N2_HRH,RET6b,N2,,
Uchicago-L001-N2Baer,Uchicago-L001-N2Baer-paired-1.fq.gz,Uchicago-L001-N2Baer-paired-2.fq.gz,Uchicago-L001-N2Baer,L001,N2,,
BGI1-RET3-NIC1,BGI1-RET3-NIC1-paired-1.fq.gz,BGI1-RET3-NIC1-paired-2.fq.gz,BGI1-RET3-NIC1,RET3,NIC1,,
BGI2-RET3-NIC1,BGI2-RET3-NIC1-paired-1.fq.gz,BGI2-RET3-NIC1-paired-2.fq.gz,BGI2-RET3-NIC1,RET3,NIC1,,
BGI3-RET3a-NIC1,BGI3-RET3a-NIC1-paired-1.fq.gz,BGI3-RET3a-NIC1-paired-2.fq.gz,BGI3-RET3a-NIC1,RET3a,NIC1,,
Princeton-ECA30_c02hkac-NIC1,Princeton-ECA30_c02hkac-NIC1-paired-1.fq.gz,Princeton-ECA30_c02hkac-NIC1-paired-2.fq.gz,Princeton-ECA30_c02hkac-NIC1,ECA30_c02hkac,NIC1,,
Princeton-ECA30_c03b2ab-NIC1,Princeton-ECA30_c03b2ab-NIC1-paired-1.fq.gz,Princeton-ECA30_c03b2ab-NIC1-paired-2.fq.gz,Princeton-ECA30_c03b2ab-NIC1,ECA30_c03b2ab,NIC1,,
BGI1-RET5-NIC166,BGI1-RET5-NIC166-paired-1.fq.gz,BGI1-RET5-NIC166-paired-2.fq.gz,BGI1-RET5-NIC166,RET5,NIC166,,
BGI2-RET5-NIC166,BGI2-RET5-NIC166-paired-1.fq.gz,BGI2-RET5-NIC166-paired-2.fq.gz,BGI2-RET5-NIC166,RET5,NIC166,,
