isolated_by,landscape,latitude,longitude,place,species,strain,substrate
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1542,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1543,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1544,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1545,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1546,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1547,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1548,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1549,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1550,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1551,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1552,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1553,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1554,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1555,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1556,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1557,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1558,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1559,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1560,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1561,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7006,2.1804,"Orsay, France",Caenorhabditis briggsae,JU1562,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Rural garden,48.7006,2.1804,"Orsay, France",Caenorhabditis elegans,JU1563,"rotting stem, Petasites hybridus"
Magali Leroy,Rural garden,40.86,-73.47,"Cold Spring Harbor, USA",Caenorhabditis briggsae,JU1564,"rotting fruit, Malus"
Magali Leroy,Rural garden,40.86,-73.47,"Cold Spring Harbor, USA",Caenorhabditis remanei,JU1565,"rotting fruit, Malus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1566,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1567,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1568,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1569,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1570,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1571,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1572,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1573,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1574,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1575,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1576,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1577,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1580,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1581,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1582,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1583,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1586,"rotting fruit, grape"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1587,"rotting fruit, grape"
Marie-Anne Felix,Agricultural land,9.1,5.1,"Shonga, Nigeria",Caenorhabditis afra,JU1593,rotting leaf
NA,,,,,Caenorhabditis elegans,JU1615,
Marie-Anne Felix,Agricultural land,17.1064,-25.1222,"Matinho, Cape Verde",Caenorhabditis tropicalis,JU1630,"rotting fruit, tomato"
Marie-Anne Felix,Agricultural land,17.1404,-25.1261,"Caibros, Cape Verde",Caenorhabditis tropicalis,JU1631,"rotting fruit, tomato"
Marie-Anne Felix,Dry shrubland,17.1508,-25.1314,"Caibros, Cape Verde",Caenorhabditis tropicalis,JU1632,"rotting fruit, Cucurmis"
Marie-Anne Felix,Agricultural land,17.115,-25.05,"Cha de Fazenda, Cape Verde",Caenorhabditis tropicalis,JU1633,"rotting fruit, coffee"
Marie-Anne Felix,Agricultural land,17.12,-25.049,"Cha de Padre, Cape Verde",Caenorhabditis tropicalis,JU1634,"rotting stem, banana"
Marie-Anne Felix,Agricultural land,17.121,-25.0492,"Cha de Padre, Cape Verde",Caenorhabditis tropicalis,JU1635,"rotting stem, banana"
Marie-Anne Felix,Agricultural land,17.129,-25.0966,"Cha de Coelho, Cape Verde",Caenorhabditis tropicalis,JU1636,"rotting stem, banana"
Marie-Anne Felix,Agricultural land,17.1363,-25.0682,"Valley de Torre, Cape Verde",Caenorhabditis briggsae,JU1637,mix
Marie-Anne Felix,Agricultural land,17.1377,-25.0669,"Valley de Torre, Cape Verde",Caenorhabditis briggsae,JU1638,soil
Marie-Anne Felix,Agricultural land,17.149,-25.0696,"Valley de Torre, Cape Verde",Caenorhabditis tropicalis,JU1639,"rotting stem, banana"
Marie-Anne Felix,Agricultural land,15.084,-23.5215,"Ribeira Cumba, Cape Verde",Caenorhabditis tropicalis,JU1640,"rotting fruit, tomato"
Marie-Anne Felix,Rural garden,14.9174,-23.6049,"Cidade Velha, Cape Verde",Caenorhabditis tropicalis,JU1641,rotting leaf
NA,Urban garden,-34.86,-56.19,"Montevideo, Uruguay",Caenorhabditis elegans,JU1652,compost heap
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1654,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1655,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1656,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1657,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1658,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1659,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1660,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1661,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1662,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1663,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1664,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1665,"rotting stem, Pteridium aquilinum"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1666,"rotting fruit, Prunus spinosa"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1762,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Rural garden,48.7006,2.1804,"Orsay, France",Caenorhabditis briggsae,JU1767,"rotting fruit, apple"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1770,"rotting stem, Pteridium aquilinum"
Jean-Baptiste Penigault,Rural garden,46.906,1.3946,"Buzancais, France",Caenorhabditis briggsae,JU1775,"rotting fungus, Boletus"
Jean-Baptiste Penigault,Rural garden,46.906,1.3948,"Buzancais, France",Caenorhabditis briggsae,JU1776,"rotting fruit, walnut"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis briggsae,JU1784,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1785,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1786,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1787,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis briggsae,JU1788,"live arthropod, isopod"
Marie-Anne Felix,Urban garden,48.834,2.385,"Paris, France",Caenorhabditis briggsae,JU1789,"rotting stem, Petasites hybridus"
Marie-Anne Felix,Rural garden,48.7006,2.1804,"Orsay, France",Caenorhabditis elegans,JU1790,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1791,"rotting fruit, pear"
Marie-Anne Felix,Forest,46.639,1.05084,"Le Blanc, France",Caenorhabditis elegans,JU1792,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1793,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Rural garden,-16.8,-151.5,"Raiatea, French Polynesia",Caenorhabditis briggsae,JU1794,compost heap
Marie-Anne Felix,Rural garden,-16.8,-151.5,"Raiatea, French Polynesia",Caenorhabditis briggsae,JU1795,compost heap
Isabelle Nuez,Forest,-21.12,55.778,"Anse des Cascades, Sainte-Rose, La Reunion",Caenorhabditis briggsae,JU1799,rotting fruit
Isabelle Nuez,Agricultural land,-21.0471,55.6887,"Saint-Benoit, La Reunion",Caenorhabditis tropicalis,JU1800,"rotting flower, Etlingeria elatior"
Isabelle Nuez,Agricultural land,-21.048,55.69,"Saint-Benoit, La Reunion",Caenorhabditis tropicalis,JU1801,"rotting fruit, jack"
Isabelle Nuez,Forest,-21.12,55.778,"Anse des Cascades, Sainte-Rose, La Reunion",Caenorhabditis briggsae,JU1802,rotting fruit
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1807,"rotting fruit, apple"
Marie-Anne Felix,Urban garden,48.8092,2.3862,"Ivry-sur-Seine, France",Caenorhabditis elegans,JU1808,"live mollusk, Helix aspersa"
Marie-Anne Felix,Forest,4.94867,-52.3132,"Montabo, French Guiana",Caenorhabditis brenneri,JU1813,rotting fruit
Marie-Anne Felix,Forest,4.9459,-52.3169,"Montabo, French Guiana",Caenorhabditis briggsae,JU1814,rotting stem
Marie-Anne Felix,Forest,4.6593,-52.3534,"Comte river, French Guiana",Caenorhabditis brenneri,JU1815,rotting fruit
Marie-Anne Felix,Agricultural land,4.52813,-52.5009,"Cacao, French Guiana",Caenorhabditis brenneri,JU1816,"rotting fruit, lemon"
Marie-Anne Felix,Agricultural land,4.53155,-52.4888,"Cacao, French Guiana",Caenorhabditis brenneri,JU1817,"rotting fruit, kumquat"
Marie-Anne Felix,Forest,4.59547,-52.2626,"Kaw Mountain, French Guiana",Caenorhabditis tropicalis,JU1818,rotting fruit
Christian Braendle,Forest,4.08805,-52.6757,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1819,rotting stem
Christian Braendle,Forest,4.08805,-52.6757,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1820,rotting stem
Christian Braendle,Forest,4.08797,-52.6752,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1821,rotting fungus
Christian Braendle,Forest,4.08797,-52.6752,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1822,rotting fungus
Christian Braendle,Forest,4.08802,-52.6751,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1823,rotting fruit
Christian Braendle,Forest,4.08802,-52.6751,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1824,rotting fruit
Christian Braendle,Forest,4.08802,-52.6751,"Nouragues, French Guiana",Caenorhabditis nouraguensis,JU1825,"rotting fruit, Barokia"
Christian Braendle,Forest,4.08802,-52.6751,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1826,"rotting fruit, Barokia"
Christian Braendle,Forest,4.08747,-52.674,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1827,"rotting fruit, Cecropia"
Christian Braendle,Forest,4.08773,-52.6743,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1828,"rotting fruit, Cecropia"
Christian Braendle,Forest,4.08545,-52.675,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1829,rotting fruit
Christian Braendle,Forest,4.08533,-52.6751,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1830,"rotting fruit, Cecropia"
Christian Braendle,Forest,4.08533,-52.6751,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1831,"rotting fruit, Cecropia"
Christian Braendle,Forest,4.08533,-52.6751,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1832,"rotting fruit, Cecropia"
Christian Braendle,Forest,4.0844,-52.6757,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1833,"rotting leaf, Cecropia"
Christian Braendle,Forest,4.0844,-52.6757,"Nouragues, French Guiana",Caenorhabditis briggsae,JU1834,"rotting fruit, Cecropia"
Christian Braendle,Forest,4.08578,-52.6791,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1835,rotting flower
Christian Braendle,Forest,4.08788,-52.68,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1836,"rotting stem, Philodendron"
Christian Braendle,Forest,4.08717,-52.6814,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1837,"rotting flower, Eperua falcata"
Christian Braendle,Forest,4.08552,-52.6819,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1838,rotting stem
Christian Braendle,Forest,4.08552,-52.6819,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1839,rotting stem
Christian Braendle,Forest,4.08433,-52.6833,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1840,"rotting flower, Astrocaryum paramaca"
Christian Braendle,Forest,4.08433,-52.6833,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1841,"rotting flower, Astrocaryum paramaca"
Christian Braendle,Forest,4.08433,-52.6833,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1842,"rotting flower, Astrocaryum paramaca"
Christian Braendle,Forest,4.08958,-52.6771,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1843,"rotting flower, Eperua falcata"
Christian Braendle,Forest,4.08958,-52.6771,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1844,"rotting flower, Eperua falcata"
Christian Braendle,Forest,4.08958,-52.6771,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1845,"rotting flower, Eperua falcata"
Christian Braendle,Forest,4.0911,-52.6746,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1846,"rotting fruit, Puruma"
Christian Braendle,Forest,4.09083,-52.6746,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1847,"rotting fruit, Apeiba echinata"
Marie-Anne Felix,Forest,4.09093,-52.6749,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1848,"rotting fruit, palm"
Christian Braendle,Forest,4.08668,-52.6816,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1849,"rotting flower, Bignonaceae"
Christian Braendle,Forest,4.08668,-52.6816,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1850,"rotting flower, Bignonaceae"
Christian Braendle,Forest,4.08737,-52.6822,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1851,"rotting fruit, Inga"
Christian Braendle,Forest,4.08737,-52.6822,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1852,"rotting fruit, Inga"
Christian Braendle,Forest,4.09003,-52.6836,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1853,"rotting flower, Morononea coccinea"
Christian Braendle,Forest,4.09003,-52.6836,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1854,"rotting flower, Morononea coccinea"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1855,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1856,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis macrosperma,JU1857,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1858,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1859,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1860,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1861,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1862,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1863,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1864,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1865,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1866,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1867,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.09138,-52.6856,"Nouragues, French Guiana",Caenorhabditis sp. 18,JU1868,"rotting fruit, Hyeronima taxiflora"
Christian Braendle,Forest,4.086,-52.666,"Nouragues, French Guiana",Caenorhabditis sp. 17,JU1869,"rotting fruit, Ficus insipida"
Christian Braendle,Forest,4.08288,-52.6798,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1870,rotting fruit
Christian Braendle,Forest,4.08288,-52.6798,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1871,rotting flower
Christian Braendle,Forest,4.08572,-52.6795,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1872,rotting flower
Jean-Baptiste Penigault,Agricultural land,-8.3613,115.03,"Sanda Center, Indonesia",Caenorhabditis wallacei,JU1873,"rotting fruit, cacao"
Marie-Anne Felix,Forest,15.7,-88.8,"Cerro San Gil, Guatemala",Caenorhabditis briggsae,JU1884,rotting fruit
Jean-Baptiste Penigault,Forest,7.2995,80.6437,"Kandy National Park, Sri Lanak",Caenorhabditis briggsae,JU1885,rotting fruit
Jean-Baptiste Penigault,Rural garden,8.03,98.93,"Sai Tai, Thailand",Caenorhabditis brenneri,JU1886,rotting fruit
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1893,"rotting fruit, apple"
Lois Tang,Urban garden,37.9997,23.7497,"Athens, Greece",Caenorhabditis elegans,JU1896,"rotting fruit, olive"
Marie-Anne Felix,Rural garden,16.185,-61.595,"Petit-Bourg, Guadeloupe",Caenorhabditis imperialis,JU1905,"rotting fruit, coconut"
Marie-Anne Felix,Forest,-17.495,145.612,"Millaa Millaa, Australia",Caenorhabditis briggsae,JU1907,rotting fruit
Marie-Anne Felix,Forest,-17.495,145.612,"Millaa Millaa, Australia",Caenorhabditis briggsae,JU1908,rotting fruit
Marie-Anne Felix,Rural garden,-18.5245,146.333,"Lucinda, Australia",Caenorhabditis briggsae,JU1909,rotting fruit
Fabien Duveau,Forest,-20.37,148.85,"Whitsundays, Australia",Caenorhabditis briggsae,JU1912,"rotting flower, Hibiscus"
Fabien Duveau,Forest,-20.37,148.85,"Whitsundays, Australia",Caenorhabditis briggsae,JU1913,rotting fruit
Fabien Duveau,Botanical garden zoo,-27.48,153.03,"Brisbane, Australia",Caenorhabditis briggsae,JU1914,rotting fruit
Fabien Duveau,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1918,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1919,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1920,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1921,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1922,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1923,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1924,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1925,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1926,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1927,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1928,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1929,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1930,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1931,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1932,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1933,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1934,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1935,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Forest,49.12,11.951,"Santeuil, France",Caenorhabditis elegans,JU1936,"rotting stem, Heracleum sphondylium"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1937,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1938,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1939,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1940,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1941,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1942,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1943,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1944,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1945,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1946,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1947,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1948,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1949,"rotting fruit, apple"
John DeModena,Urban garden,34.1,-118.13,"Altadena, USA",Caenorhabditis elegans,JU1960,compost heap
Marie-Anne Felix,Forest,-2.96,-59.84,"Amazon village, Brazil",Caenorhabditis tropicalis,JU1975,rotting fruit
Marie-Anne Felix,Forest,-2.96,-59.84,"Amazon village, Brazil",Caenorhabditis tropicalis,JU1976,rotting fruit
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1987,"rotting fruit, apple"
